no_                 ;order type code;Units;Order Date             ;Item category code;Brand Code
939093;ZT             ;                300.00000000000000000000;2020-03-01 00:00:00.000;K                 ;B4
925946;ZT             ;                300.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994684;ZT             ;                300.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994692;ZT             ;                300.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994699;ZT             ;                6440.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994695;ZT             ;                6440.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994232;ZT             ;                4940.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994292;ZT             ;                4940.00000000000000000000;2020-01-01 00:00:00.000;K                 ;B4
994629;ZT             ;                300.00000000000000000000;2020-01-02 00:00:00.000;K                 ;B4
994249;ZT             ;                4400.00000000000000000000;2020-01-02 00:00:00.000;K                 ;B4
994235;ZT             ;                4940.00000000000000000000;2020-01-02 00:00:00.000;K                 ;B4
994246;ZT             ;                4400.00000000000000000000;2020-01-03 00:00:00.000;K                 ;B4
994259;ZT             ;                4400.00000000000000000000;2020-01-03 00:00:00.000;K                 ;B4
994260;ZT             ;                4400.00000000000000000000;2020-01-03 00:00:00.000;K                 ;B4
362422;ZB             ;                 36.00000000000000000000;2019-06-12 00:00:00.000;A                 ;B10
994660;ZT             ;               4001212.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B1
994890;ZT             ;                4012.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B1
992459;ZT             ;               4001212.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B1
942535;ZT             ;               4001212.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
922003;ZT             ;               4001212.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994822;ZT             ;               43612.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994435;ZT             ;               43124.00000000000000000000;2020-02-02 00:00:00.000;B                 ;B1
994492;ZT             ;                576.00000000000000000000;2020-02-02 00:00:00.000;B                 ;B1
994493;ZT             ;               4056.00000000000000000000;2020-02-02 00:00:00.000;B                 ;B1
994296;ZT             ;                54012.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B1
994828;ZT             ;               4001212.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B1
994660;ZK             ;                 60.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B1
942535;ZK             ;                456.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994852;ZK             ;                 60.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994428;ZK             ;                404.00000000000000000000;2020-01-20 00:00:00.000;B                 ;B1
994229;ZK             ;                 40.00000000000000000000;2020-01-20 00:00:00.000;B                 ;B1
994889;ZT             ;                400.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B1
994885;ZT             ;                400.00000000000000000000;2020-01-03 00:00:00.000;B                 ;B1
994222;ZT             ;                450.00000000000000000000;2020-01-20 00:00:00.000;B                 ;B1
994820;ZT             ;                400.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994822;ZT             ;               4000.00000000000000000000;2020-02-01 00:00:00.000;B                 ;B1
994834;ZT             ;                400.00000000000000000000;2020-03-01 00:00:00.000;B                 ;B1
